# ============================================================================
# Protected Pages Registry
# ============================================================================
# These destination pages are manually authored on the dev branch and are NOT
# overwritten by migrate.sh, even though a mapping exists in EXPLICIT FILE
# MAPPING. The source mapping is kept there for documentation purposes only.
#
# WHY THIS EXISTS:
#   Some pages in the revamp are so structurally different from their hedera/
#   source that auto-migration would destroy the revamp content. These pages
#   must be maintained manually on dev. When the source changes in main, this
#   system warns you so you can review and incorporate relevant changes.
#
# FORMAT:
#   source_git_hash|source_path|destination_path|reason
#
#   source_git_hash  — git hash-object of source at time of last review.
#                      Used to detect upstream changes. Update with --ack.
#   source_path      — path in hedera/ (relative to repo root)
#   destination_path — path in new structure (relative to repo root)
#   reason           — why this page is protected
#
# WORKFLOW:
#   1. migrate.sh checks if source hash changed since last review.
#   2. If changed: WARNING is shown. The source is NOT copied to destination.
#   3. Review the source diff manually and incorporate relevant content.
#   4. Acknowledge: ./revamp/migrate.sh --ack hedera/readme.mdx
#      This updates the hash, silencing the warning until next upstream change.
#
# TO PROTECT A NEW PAGE:
#   1. Keep the mapping in migrate.sh EXPLICIT FILE MAPPING (for documentation).
#   2. Add an entry here: echo "<hash>|<src>|<dest>|<reason>"
#      where <hash> = $(git hash-object <source_path>)
#   3. Rewrite the destination on dev as needed.
# ============================================================================

5966193496764b1af59a57379b99fd810a29ef27|hedera/readme.mdx|learn/index.mdx|Revamped as Learn tab landing page — links updated to 7-tab structure; source is old root README with hedera/ links

# ── Pages authored/edited directly on dev (not derived from hedera/ source) ──
# Added when real content + fixes were written directly into the 7-tab structure.
# migrate.sh skips these; it warns (PROTECTED-CHANGED) if the hedera/ source later changes.
ef7e54659c8767385437e690f20ad53bbdf2dd9f|hedera/getting-started-evm-developers.mdx|evm/index.mdx|Edited directly on dev; preserve over hedera/ source
f97c22e272edd31cdbb2529a2a473f51f22ed56e|hedera/open-source-solutions/hedera-contract-builder.mdx|evm/tools/contract-builder.mdx|Edited directly on dev; preserve over hedera/ source
84cd00ce37f6599ff532d4c414027b40427a6bcd|hedera/core-concepts/accounts/account-properties.mdx|learn/core-concepts/accounts/account-properties.mdx|Edited directly on dev; preserve over hedera/ source
bb87f662971e3525264236528e92ac36369ddad1|hedera/getting-started-hedera-native-developers/portal-hedera-com-playground.mdx|learn/getting-started/portal-playground.mdx|Edited directly on dev; preserve over hedera/ source
8aa1a3561206d096b14cfd8602cdaca3f116946d|hedera/sdks-and-apis/sdks/accounts-and-hbar/create-an-account.mdx|native/accounts/create.mdx|Edited directly on dev; preserve over hedera/ source
3f72bf3db6c2021aad07e02ee0adf5975c8156ed|hedera/sdks-and-apis/sdks.mdx|native/fundamentals/index.mdx|Edited directly on dev; preserve over hedera/ source
37af2ad049890eb07f791227816b73922b4e36ca|hedera/getting-started-hedera-native-developers.mdx|native/index.mdx|Edited directly on dev; preserve over hedera/ source
d9e6e9461d24c581b3a920cf887d9f18eaeb49d7|hedera/sdks-and-apis/sdks/smart-contracts/create-a-smart-contract.mdx|native/smart-contracts/create.mdx|Edited directly on dev; preserve over hedera/ source
8c1d506e31e2ab93504b30edf205ff119b538355|hedera/sdks-and-apis/sdks/smart-contracts/update-a-smart-contract.mdx|native/smart-contracts/update.mdx|Edited directly on dev; preserve over hedera/ source
2e9cedd72a2cb147187d8ef013bdf6c4d0c49ca5|hedera/sdks-and-apis/sdks/token-service/associate-tokens-to-an-account.mdx|native/tokens/associate.mdx|Edited directly on dev; preserve over hedera/ source
dcba9553935e041974b139dbbfc28e29b19260c9|hedera/sdks-and-apis/sdks/token-service/define-a-token.mdx|native/tokens/define.mdx|Edited directly on dev; preserve over hedera/ source
d857287a4cf8414d7663e17a484edda43d72ffdd|hedera/tutorials/more-tutorials/get-started-with-the-hedera-consensus-service-fabric-plugin/virtual-environment-set-up.mdx|native/tutorials/advanced/hcs-fabric-plugin/virtual-environment.mdx|Edited directly on dev; preserve over hedera/ source
dd3f94ff167617bdcd90af7998f2531e5d5314f4|hedera/sdks-and-apis.mdx|reference/index.mdx|Edited directly on dev; preserve over hedera/ source
de0c779bf95113d306483d24688cb424d8af167c|hedera/open-source-solutions/ai-studio-on-hedera/hedera-ai-agent-kit.mdx|solutions/ai/agent-kit/index.mdx|Edited directly on dev; preserve over hedera/ source
4330efde1a1c84ea958415ff744a69211631e769|hedera/open-source-solutions/ai-studio-on-hedera/hedera-ai-agent-kit/hedera-agent-kit-py/quickstart.mdx|solutions/ai/agent-kit/python/quickstart.mdx|Edited directly on dev; preserve over hedera/ source
c129d68fc56212110a70cdf2bdba99061380f604|hedera/open-source-solutions/hashiodao/governance-token-dao.mdx|solutions/governance/hashiodao/governance-token-dao.mdx|Edited directly on dev; preserve over hedera/ source
